ID Organoide Form,ID Organoide Placa
Organoid_Acc1,Ba1 96_1 Dy30 B1
Organoid_Acc2,Ba1 96_1 Dy30 E11
Organoid_Acc3,Ba1 96_1 Dy30 H1
Organoid_Acc4,Ba2 96_1 Dy30 D6
Organoid_Acc5,Ba2 96_1 Dy30 E2
Organoid_Acc6,Ba2 96_1 Dy30 E4
Organoid_Acc7,Ba2 96_2 Dy30 B4
Organoid_Acc8,Ba2 96_2 Dy30 B6
Organoid_Acc9,Ba2 96_2 Dy30 C3
Organoid_Acc10,Ba2 96_2 Dy30 D3
Organoid_1,Ba1 96_1 Dy28 A8
Organoid_2,Ba1 96_1 Dy28 D4
Organoid_3,Ba1 96_1 Dy28 F12
Organoid_4,Ba1 96_1 Dy30 A8 INV
Organoid_5,Ba1 96_1 Dy30 A8
Organoid_6,Ba1 96_1 Dy30 A10
Organoid_7,Ba1 96_1 Dy30 C7
Organoid_8,Ba1 96_1 Dy30 C10 INV
Organoid_9,Ba1 96_1 Dy30 C10
Organoid_10,Ba1 96_1 Dy30 C12
Organoid_11,Ba1 96_1 Dy30 D1
Organoid_12,Ba1 96_1 Dy30 D4
Organoid_13,Ba1 96_1 Dy30 D11 INV
Organoid_14,Ba1 96_1 Dy30 D11
Organoid_15,Ba1 96_1 Dy30 F12
Organoid_16,Ba1 96_1 Dy30 G1
Organoid_17,Ba2 96_1 Dy28 D10
Organoid_18,Ba2 96_1 Dy28 E7
Organoid_19,Ba2 96_1 Dy28 G10
Organoid_20,Ba2 96_1 Dy30 A6 INV
Organoid_21,Ba2 96_1 Dy30 A6
Organoid_22,Ba2 96_1 Dy30 A11
Organoid_23,Ba2 96_1 Dy30 B3
Organoid_24,Ba2 96_1 Dy30 D10(2)
Organoid_25,Ba2 96_1 Dy30 E5 INV
Organoid_26,Ba2 96_1 Dy30 E5
Organoid_27,Ba2 96_1 Dy30 E7
Organoid_28,Ba2 96_1 Dy30 F1
Organoid_29,Ba2 96_1 Dy30 F3 INV
Organoid_30,Ba2 96_1 Dy30 F3
Organoid_31,Ba2 96_1 Dy30 G10
Organoid_32,Ba2 96_2 Dy28 A5
Organoid_33,Ba2 96_2 Dy28 B12
Organoid_34,Ba2 96_2 Dy28 D7(2)
Organoid_35,Ba2 96_2 Dy30 A2 INV
Organoid_36,Ba2 96_2 Dy30 A2
Organoid_37,Ba2 96_2 Dy30 A5
Organoid_38,Ba2 96_2 Dy30 A7
Organoid_39,Ba2 96_2 Dy30 B8 INV
Organoid_40,Ba2 96_2 Dy30 B8
Organoid_41,Ba2 96_2 Dy30 B9
Organoid_42,Ba2 96_2 Dy30 B12
Organoid_43,Ba2 96_2 Dy30 C7
Organoid_44,Ba2 96_2 Dy30 C11
Organoid_45,Ba2 96_2 Dy30 C12
Organoid_46,Ba2 96_2 Dy30 D6
Organoid_47,Ba2 96_2 Dy30 D7(2)
Organoid_48,Ba2 96_2 Dy30 E6 INV
Organoid_49,Ba2 96_2 Dy30 E6
Organoid_50,Ba2 96_2 Dy30 G3
Organoid_51,Ba1 96_1 Dy28 A2
